timestamp,frame_id,current_count,avg_count,low_stock_alert,fps,event_type
2026-03-02T09:37:08.398996,0,2,2.0,0,2.62,alert_change
2026-03-02T09:37:09.468287,13,2,2.0,0,12.79,periodic
2026-03-02T09:37:09.912578,19,2,2.1,1,12.54,alert_change
2026-03-02T09:37:10.844682,32,4,3.0,0,13.52,alert_change
2026-03-02T09:37:11.893807,46,3,3.5,0,13.54,periodic
2026-03-02T09:37:12.907183,59,4,3.9,0,11.53,periodic
2026-03-02T09:37:13.968602,73,4,3.9,0,14.62,periodic
2026-03-02T09:37:15.023739,87,4,3.9,0,13.89,periodic
2026-03-02T09:37:16.094408,101,4,3.9,0,13.79,periodic
2026-03-02T09:37:17.155210,115,3,3.6,0,11.87,periodic
2026-03-02T09:37:18.182056,128,2,2.5,0,12.6,periodic
2026-03-02T09:37:19.075406,140,2,2.3,1,13.12,alert_change
2026-03-02T09:37:20.111962,154,3,2.2,1,14.09,periodic
2026-03-02T09:37:21.085438,167,3,3.0,0,12.57,alert_change
2026-03-02T09:37:22.154098,181,4,3.8,0,13.46,periodic
2026-03-02T09:37:23.156117,194,4,4.0,0,12.65,periodic
2026-03-02T09:37:24.166153,208,4,4.0,0,12.9,periodic
2026-03-02T09:37:25.204136,222,3,3.5,0,14.26,periodic
2026-03-02T09:37:26.277272,236,3,3.0,0,13.39,periodic
2026-03-02T09:37:27.302657,250,3,3.0,0,13.7,periodic
2026-03-02T09:37:28.311621,263,3,3.0,0,13.9,periodic
2026-03-02T09:37:29.381746,275,4,3.1,0,11.61,periodic
2026-03-02T09:37:30.445223,289,4,3.6,0,14.06,periodic
2026-03-02T09:37:31.496561,302,2,2.8,0,13.48,periodic
2026-03-02T09:37:32.534362,316,2,2.0,0,11.9,periodic
2026-03-02T09:37:32.898814,321,2,2.0,1,13.85,alert_change
2026-03-02T09:37:33.873105,334,4,3.1,0,14.01,alert_change
2026-03-02T09:37:34.930686,348,4,4.0,0,12.04,periodic
2026-03-02T09:37:35.950540,362,4,4.0,0,13.26,periodic
2026-03-02T09:37:36.985515,376,4,4.0,0,13.79,periodic
2026-03-02T09:37:38.023334,390,4,3.2,0,13.48,periodic
2026-03-02T09:37:39.087553,404,4,3.3,0,14.4,periodic
2026-03-02T09:37:40.092707,417,3,3.1,0,14.31,periodic
2026-03-02T09:37:41.103495,430,4,3.5,0,13.55,periodic
2026-03-02T09:37:42.168914,444,4,4.0,0,13.29,periodic
2026-03-02T09:37:43.174909,457,3,3.8,0,11.55,periodic
2026-03-02T09:37:44.223442,471,3,3.5,0,11.67,periodic
2026-03-02T09:37:45.261898,485,4,3.9,0,13.17,periodic
2026-03-02T09:37:46.294556,499,3,3.6,0,11.2,periodic
2026-03-02T09:37:47.352527,513,3,3.0,0,12.89,periodic
2026-03-02T09:37:48.393725,527,4,4.0,0,13.42,periodic
2026-03-02T09:37:49.447145,541,3,3.6,0,13.85,periodic
2026-03-02T09:37:50.474972,555,3,3.0,0,14.2,periodic
2026-03-02T09:37:51.479149,568,3,3.0,0,11.02,periodic
2026-03-02T09:37:52.509741,582,4,4.0,0,13.99,periodic
2026-03-02T09:37:53.577550,596,4,4.0,0,14.17,periodic
2026-03-02T09:37:54.618536,610,2,2.0,0,13.08,periodic
2026-03-02T09:37:55.523421,622,4,2.4,1,14.21,alert_change
2026-03-02T09:37:55.740548,625,4,3.0,0,14.96,alert_change
2026-03-02T09:37:56.765565,639,4,4.0,0,14.55,periodic
2026-03-02T09:37:57.832235,653,2,2.8,0,13.41,periodic
2026-03-02T09:37:58.885901,667,2,2.0,0,13.14,periodic
2026-03-02T09:37:59.278071,672,2,2.0,1,11.67,alert_change
2026-03-02T09:37:59.978204,681,4,3.0,0,12.03,alert_change
2026-03-02T09:38:00.992228,694,4,4.0,0,13.56,periodic
2026-03-02T09:38:02.059209,708,3,2.4,0,12.96,periodic
2026-03-02T09:38:03.106964,722,3,3.0,0,11.62,periodic
2026-03-02T09:38:04.144210,736,4,3.7,0,14.02,periodic
2026-03-02T09:38:05.218553,750,3,3.7,0,11.74,periodic
2026-03-02T09:38:06.254217,764,1,1.2,0,13.37,periodic
2026-03-02T09:38:07.030634,774,1,1.0,1,12.09,alert_change
