timestamp,frame_id,current_count,avg_count,low_stock_alert,fps,event_type
2026-03-03T19:37:00.522225,0,4,4.0,0,2.28,alert_change
2026-03-03T19:37:01.595786,13,4,4.0,0,12.22,periodic
2026-03-03T19:37:02.635941,27,4,3.9,0,14.4,periodic
2026-03-03T19:37:03.675276,41,4,3.7,0,13.06,periodic
2026-03-03T19:37:04.702405,54,4,4.0,0,13.45,periodic
2026-03-03T19:37:05.748638,68,4,4.0,0,12.63,periodic
2026-03-03T19:37:06.816879,82,3,3.9,0,11.95,periodic
2026-03-03T19:37:07.859662,96,3,3.0,0,13.12,periodic
2026-03-03T19:37:08.867076,109,3,3.0,0,14.18,periodic
2026-03-03T19:37:09.929868,123,4,3.3,0,13.79,periodic
2026-03-03T19:37:10.968588,137,4,4.0,0,13.86,periodic
2026-03-03T19:37:12.039194,151,4,4.0,0,13.36,periodic
2026-03-03T19:37:13.054679,164,4,4.0,0,12.98,periodic
2026-03-03T19:37:14.105844,178,4,4.0,0,13.96,periodic
2026-03-03T19:37:15.153666,192,4,4.0,0,12.73,periodic
2026-03-03T19:37:16.153812,205,4,3.5,0,10.06,periodic
2026-03-03T19:37:17.208174,219,4,3.4,0,13.61,periodic
2026-03-03T19:37:18.257679,233,3,3.0,0,14.22,periodic
2026-03-03T19:37:19.258459,246,4,3.1,0,14.25,periodic
2026-03-03T19:37:20.260685,259,4,4.0,0,13.63,periodic
2026-03-03T19:37:21.314955,273,4,3.9,0,12.58,periodic
2026-03-03T19:37:22.365087,287,3,3.0,0,12.96,periodic
2026-03-03T19:37:23.431365,301,4,4.0,0,13.8,periodic
2026-03-03T19:37:24.466869,315,4,4.0,0,12.25,periodic
2026-03-03T19:37:25.471128,329,4,4.0,0,13.94,periodic
2026-03-03T19:37:26.511106,343,3,3.0,0,14.56,periodic
2026-03-03T19:37:27.552771,357,4,4.0,0,13.16,periodic
2026-03-03T19:37:28.604550,371,4,4.0,0,14.05,periodic
2026-03-03T19:37:29.651597,385,2,2.2,0,14.82,periodic
2026-03-03T19:37:30.699486,399,2,2.0,0,14.86,periodic
2026-03-03T19:37:30.773656,400,2,2.0,1,13.47,alert_change
2026-03-03T19:37:31.833735,414,2,2.0,1,13.02,periodic
2026-03-03T19:37:32.901167,428,2,2.0,1,13.82,periodic
2026-03-03T19:37:33.546919,437,4,3.1,0,14.23,alert_change
2026-03-03T19:37:34.573859,451,4,4.0,0,13.78,periodic
2026-03-03T19:37:35.601457,465,4,4.0,0,14.08,periodic
2026-03-03T19:37:36.661211,479,4,4.0,0,13.79,periodic
2026-03-03T19:37:37.730153,493,3,3.5,0,12.94,periodic
2026-03-03T19:37:38.751917,507,2,2.7,0,13.28,periodic
2026-03-03T19:37:39.778968,521,2,2.0,0,12.42,periodic
2026-03-03T19:37:39.995487,524,2,2.0,1,13.76,alert_change
2026-03-03T19:37:41.055877,538,4,2.4,1,12.22,periodic
2026-03-03T19:37:41.280166,541,4,3.0,0,13.33,alert_change
2026-03-03T19:37:42.331702,555,4,4.0,0,14.24,periodic
2026-03-03T19:37:43.382701,569,4,4.0,0,13.52,periodic
2026-03-03T19:37:44.427978,583,4,4.0,0,12.66,periodic
2026-03-03T19:37:45.480917,597,3,3.4,0,12.86,periodic
2026-03-03T19:37:46.532041,611,3,3.0,0,13.73,periodic
2026-03-03T19:37:47.564603,625,3,3.0,0,13.78,periodic
2026-03-03T19:37:48.586349,638,4,4.0,0,10.12,periodic
2026-03-03T19:37:49.655076,652,3,3.8,0,13.03,periodic
